u,y
-5.00000000,-729.51434326
-4.52693319,-718.20005615
-4.09862471,-706.75716797
-3.71083999,-696.98574829
-3.35974479,-687.60008911
-3.04186797,-675.64291992
-2.75406647,-658.28576660
-2.49349499,-646.45718750
-2.25757694,-635.91430664
-2.04397988,-615.72860962
-1.85059214,-596.57147217
-1.67550135,-581.14290771
-1.51697648,-555.55718506
-1.37345016,-539.61428955
-1.24350345,-511.45718750
-1.12585139,-484.07145996
-1.01933074,-458.35715637
-0.92288840,-430.97147217
-0.83557081,-396.12858948
-0.75651461,-359.74288574
-0.68493825,-323.48573730
-0.62013388,-284.14286499
-0.56146091,-239.78573456
-0.50833923,-210.08573486
-0.46024352,-164.57143860
-0.41669834,-119.95715042
-0.37727308,-79.20000397
-0.34157801,-19.15714394
-0.30926016,0.00000000
-0.28000000,0.00000000
0.28000000,0.00000000
0.30926016,0.00000000
0.34157801,60.04285973
0.37727308,93.98572327
0.41669834,137.18571503
0.46024352,179.87144379
0.50833923,218.95717133
0.56146091,257.52859863
0.62013388,299.82860229
0.68493825,333.90002441
0.75651461,371.95717529
0.83557081,403.58574097
0.92288840,437.40005615
1.01933074,468.00001831
1.12585139,495.77146179
1.24350345,522.77150391
1.37345016,544.62858398
1.51697648,567.64287109
1.67550135,585.00006104
1.85059214,604.80005371
2.04397988,621.25718018
2.25757694,640.54288574
2.49349499,651.47148682
2.75406647,663.04288818
3.04186797,675.12863281
3.35974479,689.91436768
3.71083999,705.08573486
4.09862471,711.25718018
4.52693319,719.10005859
5.00000000,724.24292969
