t,r,y,u
0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,0.00000000,0.00000000,0.00000000
0.04000000,0.00000000,0.00000000,0.00000000
0.06000000,0.00000000,0.00000000,0.00000000
0.08000000,0.00000000,0.00000000,0.00000000
0.10000000,0.00000000,0.00000000,0.00000000
0.12000000,0.00000000,0.00000000,0.00000000
0.14000000,0.00000000,0.00000000,0.00000000
0.16000000,0.00000000,0.00000000,0.00000000
0.18000000,0.00000000,0.00000000,0.00000000
0.20000000,0.00000000,0.00000000,0.00000000
0.22000000,0.00000000,0.00000000,0.00000000
0.24000000,0.00000000,0.00000000,0.00000000
0.26000000,0.00000000,0.00000000,0.00000000
0.28000000,0.00000000,0.00000000,0.00000000
0.30000000,0.00000000,0.00000000,0.00000000
0.32000000,0.00000000,0.00000000,0.00000000
0.34000000,0.00000000,0.00000000,0.00000000
0.36000000,0.00000000,0.00000000,0.00000000
0.38000000,0.00000000,0.00000000,0.00000000
0.40000000,0.00000000,0.00000000,0.00000000
0.42000000,0.00000000,0.00000000,0.00000000
0.44000000,0.00000000,0.00000000,0.00000000
0.46000000,0.00000000,0.00000000,0.00000000
0.48000000,0.00000000,0.00000000,0.00000000
0.50000000,100.00000000,0.00000000,0.00000000
0.52000000,100.00000000,0.00000000,0.00000000
0.54000000,100.00000000,0.90000004,2.00000000
0.56000000,100.00000000,4.88571453,3.52340889
0.58000000,100.00000000,12.47142887,3.76669312
0.60000000,100.00000000,22.50000191,3.33279657
0.62000000,100.00000000,33.94285965,3.06017590
0.64000000,100.00000000,46.15714645,2.99355507
0.66000000,100.00000000,58.75714493,2.97903061
0.68000000,100.00000000,71.87142944,2.89741898
0.70000000,100.00000000,84.98571777,2.48553228
0.72000000,100.00000000,98.22857666,2.04151440
0.74000000,100.00000000,111.21429443,1.28805113
0.76000000,100.00000000,123.81429291,0.46092987
0.78000000,100.00000000,135.25715637,-0.52290392
0.80000000,100.00000000,143.61428833,-1.31457472
0.82000000,100.00000000,147.85714722,-1.19454932
0.84000000,100.00000000,149.40000916,-0.38292968
0.86000000,100.00000000,149.65715027,-0.04650509
0.88000000,100.00000000,149.40000916,-0.34125555
0.90000000,100.00000000,148.24285889,-1.01657248
0.92000000,100.00000000,145.54286194,-1.48155093
0.94000000,100.00000000,141.17143250,-1.50295663
