u,y
-5.00000000,-713.18575684
-4.52693319,-709.07145996
-4.09862471,-704.18573242
-3.71083999,-694.80004883
-3.35974479,-686.57151489
-3.04186797,-675.77149170
-2.75406647,-664.71432007
-2.49349499,-644.78575439
-2.25757694,-631.28576538
-2.04397988,-613.15719604
-1.85059214,-599.78575562
-1.67550135,-583.07148437
-1.51697648,-570.08573486
-1.37345016,-548.35716553
-1.24350345,-528.94293213
-1.12585139,-502.84290161
-1.01933074,-479.82860229
-0.92288840,-456.81430420
-0.83557081,-429.68575562
-0.75651461,-394.20002197
-0.68493825,-359.87145630
-0.62013388,-323.48573730
-0.56146091,-285.17143921
-0.50833923,-245.95716522
-0.46024352,-203.78572235
-0.41669834,-161.87143768
-0.37727308,-118.80000748
-0.34157801,-59.91428848
-0.30926016,0.00000000
-0.28000000,0.00000000
0.28000000,0.00000000
0.30926016,0.00000000
0.34157801,20.70000137
0.37727308,90.00000763
0.41669834,146.44287292
0.46024352,189.12858978
0.50833923,235.02858124
0.56146091,271.67143311
0.62013388,307.41430481
0.68493825,340.97146484
0.75651461,377.87145386
0.83557081,408.08573853
0.92288840,437.78576843
1.01933074,466.32858521
1.12585139,495.90003662
1.24350345,518.01434814
1.37345016,540.00000122
1.51697648,558.38575928
1.67550135,574.32860352
1.85059214,593.10006714
2.04397988,609.30006226
2.25757694,625.62862061
2.49349499,637.07145386
2.75406647,656.87148560
3.04186797,668.05718506
3.35974479,677.44292480
3.71083999,688.11437256
4.09862471,697.11432129
4.52693319,709.58574707
5.00000000,719.74291748
