t,r,y,u
0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,0.00000000,0.00000000,0.00000000
0.04000000,0.00000000,0.00000000,0.00000000
0.06000000,0.00000000,0.00000000,0.00000000
0.08000000,0.00000000,0.00000000,0.00000000
0.10000000,0.00000000,0.00000000,0.00000000
0.12000000,0.00000000,0.00000000,0.00000000
0.14000000,0.00000000,0.00000000,0.00000000
0.16000000,0.00000000,0.00000000,0.00000000
0.18000000,0.00000000,0.00000000,0.00000000
0.20000000,0.00000000,0.00000000,0.00000000
0.22000000,0.00000000,0.00000000,0.00000000
0.24000000,0.00000000,0.00000000,0.00000000
0.26000000,0.00000000,0.00000000,0.00000000
0.28000000,0.00000000,0.00000000,0.00000000
0.30000000,0.00000000,0.00000000,0.00000000
0.32000000,0.00000000,0.00000000,0.00000000
0.34000000,0.00000000,0.00000000,0.00000000
0.36000000,0.00000000,0.00000000,0.00000000
0.38000000,0.00000000,0.00000000,0.00000000
0.40000000,0.00000000,0.00000000,0.00000000
0.42000000,0.00000000,0.00000000,0.00000000
0.44000000,0.00000000,0.00000000,0.00000000
0.46000000,0.00000000,0.00000000,0.00000000
0.48000000,0.00000000,0.00000000,0.00000000
0.50000000,360.00000000,0.00000000,0.00000000
0.52000000,360.00000000,0.00000000,0.00000000
0.54000000,360.00000000,0.00000000,0.14399999
0.56000000,360.00000000,0.00000000,0.28799999
0.58000000,360.00000000,12.85714340,0.43199998
0.60000000,360.00000000,32.14286041,0.56314284
0.62000000,360.00000000,45.00000381,0.68271422
0.64000000,360.00000000,77.14286041,0.80099994
0.66000000,360.00000000,115.71428680,0.89485711
0.68000000,360.00000000,147.85716248,0.96942854
0.70000000,360.00000000,186.42858887,1.03499997
0.72000000,360.00000000,231.42857361,1.08128572
0.74000000,360.00000000,263.57147217,1.10571420
0.76000000,360.00000000,295.71432495,1.12499988
0.78000000,360.00000000,327.85717773,1.13142836
0.80000000,360.00000000,353.57144165,1.12499988
0.82000000,360.00000000,379.28573608,1.11214268
0.84000000,360.00000000,398.57144165,1.08899975
0.86000000,360.00000000,411.42858887,1.06199980
0.88000000,360.00000000,424.28576660,1.03371418
0.90000000,360.00000000,437.14291382,1.00028551
0.92000000,360.00000000,443.57147217,0.96171409
0.94000000,360.00000000,450.00006104,0.92442828
0.96000000,360.00000000,450.00006104,0.88457114
