t,u,y
0.00000000,28.60129929,70.00000000
0.80000000,24.60129929,70.00000000
1.60000000,24.60129929,70.00000000
2.40000000,24.60129929,69.87500000
3.20000000,24.60129929,69.75000000
4.00000000,24.60129929,69.62500000
4.80000000,24.60129929,69.50000000
5.60000000,24.60129929,69.43750000
6.40000000,24.60129929,69.31250000
7.20000000,24.60129929,69.18750000
8.00000000,24.60129929,69.12500000
8.80000000,24.60129929,69.00000000
9.60000000,24.60129929,68.93750000
10.40000000,24.60129929,68.87500000
11.20000000,24.60129929,68.81250000
12.00000000,24.60129929,68.68750000
12.80000000,24.60129929,68.62500000
13.60000000,24.60129929,68.56250000
14.40000000,24.60129929,68.43750000
15.20000000,24.60129929,68.43750000
16.00000000,24.60129929,68.31250000
16.80000000,24.60129929,68.31250000
17.60000000,24.60129929,68.25000000
18.40000000,24.60129929,68.12500000
19.20000000,24.60129929,68.12500000
20.00000000,32.60129929,68.00000000
20.80000000,32.60129929,68.00000000
21.60000000,32.60129929,68.12500000
22.40000000,32.60129929,68.37500000
23.20000000,32.60129929,68.56250000
24.00000000,32.60129929,68.68750000
24.80000000,32.60129929,68.93750000
25.60000000,32.60129929,69.06250000
26.40000000,32.60129929,69.18750000
27.20000000,32.60129929,69.31250000
28.00000000,32.60129929,69.50000000
28.80000000,32.60129929,69.62500000
29.60000000,32.60129929,69.75000000
30.40000000,32.60129929,69.87500000
31.20000000,32.60129929,70.00000000
32.00000000,32.60129929,70.06250000
32.80000000,32.60129929,70.18750000
33.60000000,32.60129929,70.31250000
34.40000000,32.60129929,70.37500000
35.20000000,32.60129929,70.50000000
36.00000000,32.60129929,70.62500000
36.80000000,32.60129929,70.68750000
37.60000000,32.60129929,70.75000000
38.40000000,32.60129929,70.87500000
39.20000000,32.60129929,70.93750000
40.00000000,32.60129929,71.06250000
40.80000000,32.60129929,71.12500000
41.60000000,32.60129929,71.18750000
42.40000000,32.60129929,71.25000000
43.20000000,32.60129929,71.31250000
44.00000000,32.60129929,71.43750000
44.80000000,32.60129929,71.50000000
45.60000000,32.60129929,71.56250000
46.40000000,32.60129929,71.56250000
47.20000000,32.60129929,71.68750000
48.00000000,32.60129929,71.75000000
48.80000000,32.60129929,71.81250000
49.60000000,32.60129929,71.87500000
50.40000000,32.60129929,71.93750000
