t,r,y,u
0.00000000,40.00000000,40.00000000,0.00000000
0.00000000,40.00000000,40.00000000,0.00000000
0.80000000,40.59999847,39.68750000,16.92095184
1.60000000,41.20000076,39.43750000,34.91712570
2.40000000,41.79999924,39.75000000,44.56359863
3.20000000,42.40000153,40.62500000,44.48329926
4.00000000,43.00000000,41.81250000,37.93478012
4.80000000,43.59999847,43.00000000,29.94784737
5.60000000,44.20000076,43.87500000,26.31742859
6.40000000,44.79999924,44.50000000,26.64953041
7.20000000,45.40000153,44.87500000,31.55637360
8.00000000,46.00000000,45.31250000,35.85506058
8.80000000,46.59999847,45.81250000,39.39263535
9.60000000,47.20000076,46.50000000,39.69819260
10.40000000,47.79999924,47.25000000,38.63048553
11.20000000,48.40000153,48.06250000,36.03662491
12.00000000,49.00000000,48.68750000,36.39933014
12.80000000,49.59999847,49.31250000,36.70082474
13.60000000,50.20000076,49.87500000,38.10015106
14.40000000,50.79999924,50.43750000,39.59122467
15.20000000,51.40000153,51.00000000,41.17417526
16.00000000,52.00000000,51.56250000,42.84887695
16.80000000,52.59999847,52.25000000,42.29744720
17.60000000,53.20000076,52.87500000,42.69082260
18.40000000,53.79999924,53.56250000,41.86395264
19.20000000,54.40000153,54.18750000,41.98188782
20.00000000,55.00000000,54.75000000,43.19752121
20.80000000,55.59999847,55.31250000,44.50496674
21.60000000,56.20000076,55.93750000,44.74532318
22.40000000,56.79999924,56.50000000,46.08337402
23.20000000,57.39999771,57.12500000,46.35425949
24.00000000,58.00000000,57.75000000,46.56400681
24.80000000,58.59999847,58.37500000,46.71248245
25.60000000,59.20000076,58.93750000,47.95878601
26.40000000,59.79999924,59.50000000,49.29683685
27.20000000,60.40000153,60.12500000,49.56779480
28.00000000,61.00000000,60.75000000,49.77747726
28.80000000,61.60000229,61.37500000,49.92602539
29.60000000,62.20000076,62.00000000,50.01329422
30.40000000,62.79999924,62.56250000,51.19832230
31.20000000,63.39999771,63.18750000,51.31618881
32.00000000,64.00000000,63.75000000,52.53188324
32.80000000,64.59999847,64.31250000,53.83932877
33.60000000,65.19999695,64.93750000,54.07961273
34.40000000,65.80000305,65.56250000,54.25882339
35.20000000,66.40000153,66.18750000,54.37669754
36.00000000,67.00000000,66.75000000,55.59233093
36.80000000,67.59999847,67.37500000,55.74080658
37.60000000,68.19999695,67.93750000,56.98703766
38.40000000,68.80000305,68.56250000,57.16624832
39.20000000,69.40000153,69.12500000,58.44309616
40.00000000,70.00000000,69.75000000,58.65277863
40.80000000,69.69999695,70.37500000,42.11204147
41.60000000,69.40000153,70.93750000,24.46567535
42.40000000,69.09999847,71.06250000,12.82026672
43.20000000,68.80000305,70.62500000,10.56518364
44.00000000,68.50000000,69.87500000,14.44147301
44.80000000,68.19999695,68.93750000,22.89642906
45.60000000,67.90000153,68.18750000,29.43543434
46.40000000,67.59999847,67.75000000,31.28121567
47.20000000,67.30000305,67.62500000,27.66892433
48.00000000,67.00000000,67.50000000,23.62804031
48.80000000,66.69999695,67.37500000,19.15868759
49.60000000,66.40000153,67.06250000,17.73791695
50.40000000,66.09999847,66.62500000,18.66556358
51.20000000,65.80000305,66.18750000,19.92999458
52.00000000,65.50000000,65.75000000,21.53094292
52.80000000,65.19999695,65.43750000,21.15059280
53.60000000,64.90000153,65.12500000,20.80097771
54.40000000,64.59999847,64.87500000,19.32286835
55.20000000,64.30000305,64.56250000,18.88144493
56.00000000,64.00000000,64.25000000,18.47049522
56.80000000,63.70000076,63.93750000,18.09021568
57.60000000,63.40000153,63.62500000,17.74053955
58.40000000,63.09999847,63.31250000,17.42140007
59.20000000,62.79999924,62.93750000,18.29190063
60.00000000,62.50000000,62.62500000,18.18705940
60.80000000,62.20000076,62.37500000,16.95384979
61.60000000,61.90000153,62.06250000,16.75719833
62.40000000,61.59999847,61.81250000,15.43210983
63.20000000,61.29999924,61.50000000,15.14363956
64.00000000,61.00000000,61.12500000,16.04474640
64.80000000,60.70000076,60.81250000,15.97050858
65.60000000,60.40000153,60.50000000,15.92687893
66.40000000,60.09999847,60.18750000,15.91378307
67.20000000,59.79999924,59.93750000,14.77238560
68.00000000,59.50000000,59.68750000,13.50857162
68.80000000,59.20000076,59.37500000,13.28131390
69.60000000,58.90000153,59.06250000,13.08466053
70.40000000,58.59999847,58.75000000,12.91854382
71.20000000,58.29999924,58.43750000,12.78309536
72.00000000,58.00000000,58.06250000,13.83722401
72.80000000,57.70000076,57.75000000,13.91600895
73.60000000,57.40000153,57.50000000,12.86643028
74.40000000,57.09999847,57.25000000,11.69436455
75.20000000,56.79999924,57.00000000,10.39994431
76.00000000,56.50000000,56.62500000,11.30105019
76.80000000,56.20000076,56.31250000,11.22681427
77.60000000,55.90000153,56.00000000,11.18318462
78.40000000,55.59999847,55.75000000,10.01111889
79.20000000,55.29999924,55.43750000,9.87567043
80.00000000,55.00000000,55.06250000,10.92979908
80.80000000,55.00000000,54.81250000,15.41266060
81.60000000,55.00000000,54.50000000,21.66658401
82.40000000,55.00000000,54.43750000,24.04973412
83.20000000,55.00000000,54.50000000,24.26796341
84.00000000,55.00000000,54.62500000,23.17420006
84.80000000,55.00000000,54.81250000,20.61542130
85.60000000,55.00000000,54.93750000,18.75654602
86.40000000,55.00000000,55.00000000,17.75059700
87.20000000,55.00000000,54.93750000,18.90956879
88.00000000,55.00000000,54.87500000,20.22156143
88.80000000,55.00000000,54.87500000,20.52760696
89.60000000,55.00000000,54.87500000,20.83365250
90.40000000,55.00000000,54.87500000,21.13969803
91.20000000,55.00000000,54.87500000,21.44574356
92.00000000,55.00000000,54.93750000,20.59281921
92.80000000,55.00000000,54.93750000,20.74584198
