t,r,y,u
0.00000000,50.00000000,62.31250000,0.00000000
0.80000000,50.00000000,61.37500000,0.00000000
1.60000000,50.00000000,59.68750000,0.00000000
2.40000000,50.00000000,58.75000000,0.00000000
3.20000000,50.00000000,57.87500000,0.00000000
4.00000000,50.00000000,57.06250000,0.00000000
4.80000000,50.00000000,56.31250000,0.00000000
5.60000000,50.00000000,55.50000000,0.00000000
6.40000000,50.00000000,54.81250000,0.00000000
7.20000000,50.00000000,54.06250000,0.00000000
8.00000000,50.00000000,53.37500000,0.00000000
8.80000000,50.00000000,52.56250000,0.00000000
9.60000000,50.00000000,51.75000000,0.00000000
10.40000000,50.00000000,51.06250000,0.00000000
11.20000000,50.00000000,50.50000000,1.73943710
12.00000000,50.00000000,49.93750000,15.61982346
12.80000000,50.00000000,49.50000000,36.21981049
13.60000000,50.00000000,49.56250000,44.33084488
14.40000000,50.00000000,50.18750000,26.34403801
15.20000000,50.00000000,51.12500000,0.00000000
16.00000000,50.00000000,51.43750000,0.00000000
16.80000000,50.00000000,51.00000000,0.00000000
17.60000000,50.00000000,50.31250000,8.63541222
18.40000000,50.00000000,49.75000000,26.58828545
19.20000000,50.00000000,49.43750000,45.76290512
20.00000000,50.00000000,49.81250000,41.48679733
20.80000000,50.00000000,50.62500000,9.82322407
21.60000000,50.00000000,51.37500000,0.00000000
22.40000000,50.00000000,51.25000000,0.00000000
23.20000000,50.00000000,50.62500000,0.58175373
24.00000000,50.00000000,49.93750000,17.24500465
24.80000000,50.00000000,49.37500000,43.34284973
25.60000000,50.00000000,49.37500000,56.91780090
26.40000000,50.00000000,50.18750000,34.75669098
27.20000000,50.00000000,51.37500000,0.00000000
28.00000000,50.00000000,51.93750000,0.00000000
28.80000000,50.00000000,51.43750000,0.00000000
29.60000000,50.00000000,50.75000000,0.00000000
30.40000000,50.00000000,50.00000000,16.70513725
31.20000000,50.00000000,49.43750000,41.44548416
32.00000000,50.00000000,49.37500000,56.41186905
32.80000000,50.00000000,50.18750000,34.25076294
33.60000000,50.00000000,51.31250000,0.00000000
34.40000000,50.00000000,51.87500000,0.00000000
35.20000000,50.00000000,51.43750000,0.00000000
36.00000000,50.00000000,50.68750000,1.97631979
36.80000000,50.00000000,50.00000000,17.28207588
37.60000000,50.00000000,49.50000000,39.27349854
38.40000000,50.00000000,49.43750000,52.88238525
39.20000000,50.00000000,50.12500000,34.86163712
40.00000000,50.00000000,51.18750000,0.00000000
40.80000000,50.00000000,51.75000000,0.00000000
41.60000000,50.00000000,51.25000000,0.00000000
42.40000000,50.00000000,50.50000000,5.99388695
43.20000000,50.00000000,49.81250000,25.37212944
44.00000000,50.00000000,49.43750000,45.93817902
44.80000000,50.00000000,49.68750000,47.15992355
45.60000000,50.00000000,50.56250000,15.46241379
46.40000000,50.00000000,51.50000000,0.00000000
47.20000000,50.00000000,51.50000000,0.00000000
48.00000000,50.00000000,50.87500000,0.00000000
48.80000000,50.00000000,50.18750000,11.28140640
49.60000000,50.00000000,49.56250000,34.69819641
50.40000000,50.00000000,49.37500000,52.44744492
51.20000000,50.00000000,49.93750000,41.28205109
52.00000000,50.00000000,51.00000000,0.00000000
52.80000000,50.00000000,51.75000000,0.00000000
53.60000000,50.00000000,51.31250000,0.00000000
54.40000000,50.00000000,50.56250000,4.66372347
55.20000000,50.00000000,49.93750000,19.93554306
56.00000000,50.00000000,49.50000000,40.53553009
56.80000000,50.00000000,49.56250000,48.64656448
57.60000000,50.00000000,50.31250000,25.16190147
58.40000000,50.00000000,51.25000000,0.00000000
59.20000000,50.00000000,51.56250000,0.00000000
60.00000000,60.00000000,50.93750000,100.00000000
60.80000000,60.00000000,50.56250000,100.00000000
61.60000000,60.00000000,52.68750000,100.00000000
62.40000000,60.00000000,55.31250000,100.00000000
63.20000000,60.00000000,57.87500000,88.67916870
64.00000000,60.00000000,60.18750000,33.12368774
64.80000000,60.00000000,61.93750000,0.00000000
65.60000000,60.00000000,62.18750000,0.00000000
66.40000000,60.00000000,61.18750000,0.00000000
67.20000000,60.00000000,60.00000000,26.46750069
68.00000000,60.00000000,59.00000000,70.45034027
68.80000000,60.00000000,58.81250000,100.00000000
69.60000000,60.00000000,60.06250000,70.80965424
70.40000000,60.00000000,62.18750000,0.00000000
71.20000000,60.00000000,63.50000000,0.00000000
72.00000000,60.00000000,62.81250000,0.00000000
72.80000000,60.00000000,61.68750000,0.00000000
73.60000000,60.00000000,60.56250000,12.94100189
74.40000000,60.00000000,59.56250000,44.70638657
75.20000000,60.00000000,59.06250000,76.20027924
76.00000000,60.00000000,59.62500000,71.82235718
76.80000000,60.00000000,61.06250000,16.74198914
77.60000000,60.00000000,62.37500000,0.00000000
78.40000000,60.00000000,62.25000000,0.00000000
79.20000000,60.00000000,61.31250000,0.00000000
80.00000000,60.00000000,60.25000000,18.29686356
80.80000000,60.00000000,59.31250000,54.10079575
81.60000000,60.00000000,59.00000000,82.77787781
82.40000000,60.00000000,59.81250000,68.76174164
83.20000000,60.00000000,61.50000000,0.00000000
84.00000000,60.00000000,62.75000000,0.00000000
84.80000000,60.00000000,62.18750000,0.00000000
85.60000000,60.00000000,61.12500000,0.00000000
86.40000000,60.00000000,60.12500000,19.55233383
87.20000000,60.00000000,59.25000000,55.32232666
88.00000000,60.00000000,59.00000000,82.60798645
88.80000000,60.00000000,59.87500000,65.84291840
89.60000000,60.00000000,61.56250000,0.00000000
90.40000000,60.00000000,62.75000000,0.00000000
91.20000000,60.00000000,62.18750000,0.00000000
92.00000000,60.00000000,61.12500000,0.00000000
92.80000000,60.00000000,60.12500000,19.55233002
93.60000000,60.00000000,59.18750000,58.07125473
94.40000000,60.00000000,59.00000000,83.96546936
95.20000000,60.00000000,59.93750000,64.45147705
96.00000000,60.00000000,61.68750000,0.00000000
96.80000000,60.00000000,62.81250000,0.00000000
97.60000000,60.00000000,62.25000000,0.00000000
98.40000000,60.00000000,61.18750000,0.00000000
99.20000000,60.00000000,60.18750000,18.20841026
100.00000000,60.00000000,59.31250000,52.62091064
100.80000000,60.00000000,59.00000000,81.29799652
101.60000000,60.00000000,59.81250000,67.28186035
102.40000000,60.00000000,61.43750000,0.00000000
103.20000000,60.00000000,62.68750000,0.00000000
104.00000000,60.00000000,62.12500000,0.00000000
104.80000000,60.00000000,61.06250000,0.90785265
105.60000000,60.00000000,60.06250000,21.81327629
106.40000000,60.00000000,59.25000000,56.19184113
107.20000000,60.00000000,59.06250000,80.72856903
108.00000000,60.00000000,60.00000000,59.85707855
108.80000000,60.00000000,61.62500000,0.00000000
109.60000000,60.00000000,62.68750000,0.00000000
110.40000000,60.00000000,62.06250000,0.00000000
111.20000000,60.00000000,61.00000000,2.23801804
112.00000000,60.00000000,60.06250000,21.75200844
112.80000000,60.00000000,59.25000000,56.13057327
113.60000000,60.00000000,59.12500000,77.91837311
114.40000000,60.00000000,60.00000000,58.43831635
115.20000000,60.00000000,61.56250000,0.00000000
116.00000000,60.00000000,62.56250000,0.00000000
116.80000000,60.00000000,62.00000000,0.00000000
117.60000000,60.00000000,60.93750000,3.59627485
118.40000000,60.00000000,60.00000000,24.46776009
119.20000000,60.00000000,59.25000000,57.45489120
120.00000000,60.00000000,59.18750000,76.49375916
